supp,n_edges,row,col,full,has_body,has_head
32571,1,0_1_0,,0_1_0,True,False
21148,2,0_1_0-1_2_0,,0_1_0-1_2_0,True,False
20136,2,0_1_0-0_2_0,,0_1_0-0_2_0,True,False
19195,3,0_1_0-0_3_0-1_2_0,,0_1_0-0_3_0-1_2_0,True,False
17920,2,0_1_0-1_0_0,,0_1_0-1_0_0,True,False
16865,3,0_1_0-1_2_0-2_3_0,,0_1_0-1_2_0-2_3_0,True,False
15714,3,0_1_0-1_0_0-2_0_0,,0_1_0-1_0_0-2_0_0,True,False
15714,3,0_1_0-1_0_0-2_1_0,,0_1_0-1_0_0-2_1_0,True,False
15714,3,0_1_0-1_2_0-2_1_0,,0_1_0-1_2_0-2_1_0,True,False
14580,3,0_1_0-0_2_0-0_3_0,,0_1_0-0_2_0-0_3_0,True,False
13003,3,0_1_0-1_2_0-1_3_0,,0_1_0-1_2_0-1_3_0,True,False
12436,3,0_1_0-0_2_0-1_0_0,,0_1_0-0_2_0-1_0_0,True,False
12436,3,0_1_0-1_0_0-1_2_0,,0_1_0-1_0_0-1_2_0,True,False
5045,3,0_1_0-1_2_0-2_0_0,,0_1_0-1_2_0-2_0_0,True,False
1941,1,,0_1_1,0_1_1,False,True
1570,2,0_1_0,0_2_1,0_1_0-0_2_1,True,True
1466,3,0_1_0-1_2_0,0_3_1,0_1_0-1_2_0-0_3_1,True,True
1453,2,0_1_0,2_0_1,0_1_0-2_0_1,True,True
1359,3,0_1_0-1_2_0,3_0_1,0_1_0-1_2_0-3_0_1,True,True
1341,3,0_1_0-0_2_0,0_3_1,0_1_0-0_2_0-0_3_1,True,True
1224,3,0_1_0-1_0_0,2_0_1,0_1_0-1_0_0-2_0_1,True,True
1213,3,0_1_0-2_3_0,2_0_1,0_1_0-2_3_0-2_0_1,True,True
1178,3,0_1_0-0_2_0,3_0_1,0_1_0-0_2_0-3_0_1,True,True
